seq,send_time,receive_time,latency_ms,payload_size_bytes
55,1782737067.9072285,1782737067.9503214,43.092966079711914,256
56,1782737068.0072336,1782737068.054361,47.127485275268555,256
57,1782737068.1072288,1782737068.227812,120.58329582214355,256
58,1782737068.2071352,1782737068.2518322,44.69704627990723,256
59,1782737068.307226,1782737068.3510976,43.87164115905762,256
60,1782737068.4072702,1782737068.4503644,43.09415817260742,256
61,1782737068.507225,1782737068.5502799,43.054819107055664,256
62,1782737068.6072094,1782737068.6820426,74.83315467834473,256
63,1782737068.7071798,1782737068.7496204,42.44065284729004,256
64,1782737068.8072376,1782737068.8499196,42.68193244934082,256
65,1782737068.9072387,1782737068.9512894,44.05069351196289,256
66,1782737069.0072374,1782737069.0512471,44.00968551635742,256
67,1782737069.1072955,1782737069.1512387,43.943166732788086,256
68,1782737069.2071478,1782737069.2760987,68.95089149475098,256
69,1782737069.3072715,1782737069.3508525,43.58100891113281,256
70,1782737069.4072204,1782737069.4518158,44.59547996520996,256
71,1782737069.5072112,1782737069.5511258,43.9145565032959,256
72,1782737069.6072655,1782737069.6513748,44.109344482421875,256
73,1782737069.7072089,1782737069.7521522,44.94333267211914,256
74,1782737069.8072479,1782737069.8529537,45.70579528808594,256
75,1782737069.9072227,1782737069.9529717,45.74894905090332,256
76,1782737070.007184,1782737070.0495787,42.39463806152344,256
77,1782737070.1072013,1782737070.1494133,42.21200942993164,256
78,1782737070.2072356,1782737070.325574,118.33834648132324,256
79,1782737070.3066227,1782737070.354881,48.258304595947266,256
80,1782737070.4072146,1782737070.4695852,62.37053871154785,256
81,1782737070.5071843,1782737070.5520532,44.86894607543945,256
82,1782737070.6072493,1782737070.6548538,47.60456085205078,256
83,1782737070.7072737,1782737070.7571638,49.89004135131836,256
84,1782737070.8072267,1782737070.8588703,51.64361000061035,256
85,1782737070.9072402,1782737070.991369,84.12885665893555,256
86,1782737071.0072258,1782737071.0646281,57.40237236022949,256
87,1782737071.107255,1782737071.1667595,59.50450897216797,256
88,1782737071.207226,1782737071.2738664,66.64037704467773,256
89,1782737071.307225,1782737071.3752844,68.05944442749023,256
90,1782737071.4072685,1782737071.457908,50.63939094543457,256
91,1782737071.5072231,1782737071.55048,43.25675964355469,256
92,1782737071.607287,1782737071.6513581,44.071197509765625,256
93,1782737071.7070587,1782737071.7504902,43.43152046203613,256
94,1782737071.8072414,1782737071.852536,45.29452323913574,256
95,1782737071.907197,1782737071.9508905,43.69354248046875,256
96,1782737072.0072114,1782737072.051302,44.09050941467285,256
97,1782737072.1072805,1782737072.1543608,47.080278396606445,256
98,1782737072.2072046,1782737072.2567003,49.495697021484375,256
99,1782737072.3073075,1782737072.4225178,115.21029472351074,256
100,1782737072.407218,1782737072.4494643,42.246341705322266,256
