seqsend_time,receive_time,latency_ms,payload_size_bytes
64,1782068999.2291343,1782068999.244759,15.624761581420898,256
65,1782068999.32951,1782068999.3418467,12.33673095703125,256
66,1782068999.4298708,1782068999.4422512,12.380361557006836,256
67,1782068999.5302374,1782068999.5445492,14.311790466308594,256
68,1782068999.6306436,1782068999.6446352,13.991594314575195,256
69,1782068999.7310412,1782068999.7527828,21.741628646850586,256
70,1782068999.831423,1782068999.8571467,25.723695755004883,256
71,1782068999.93182,1782068999.9471488,15.32888412475586,256
72,1782069000.0324109,1782069000.0447543,12.343406677246094,256
73,1782069000.1328313,1782069000.1472125,14.381170272827148,256
74,1782069000.2332594,1782069000.2451797,11.92021369934082,256
75,1782069000.3336382,1782069000.3591626,25.524377822875977,256
76,1782069000.4340115,1782069000.4473643,13.35287094116211,256
77,1782069000.5344577,1782069000.546774,12.316226959228516,256
78,1782069000.6348703,1782069000.6472745,12.404203414916992,256
79,1782069000.7352898,1782069000.74764,12.350082397460938,256
80,1782069000.8356626,1782069000.849548,13.885498046875,256
81,1782069000.9360735,1782069000.9515357,15.462160110473633,256
82,1782069001.0366354,1782069001.049351,12.715578079223633,256
83,1782069001.1370592,1782069001.1493146,12.255430221557617,256
84,1782069001.237452,1782069001.251037,13.58485221862793,256
85,1782069001.3378396,1782069001.3502696,12.429952621459961,256
86,1782069001.4382136,1782069001.4659019,27.688264846801758,256
87,1782069001.538631,1782069001.551166,12.53509521484375,256
88,1782069001.6390371,1782069001.651629,12.591838836669922,256
89,1782069001.739438,1782069001.7519612,12.523174285888672,256
90,1782069001.8398147,1782069001.8520725,12.257814407348633,256
91,1782069001.9402084,1782069001.9525352,12.326717376708984,256
92,1782069002.0407865,1782069002.0530033,12.216806411743164,256
93,1782069002.14121,1782069002.1534936,12.283563613891602,256
94,1782069002.241612,1782069002.2538028,12.190818786621094,256
95,1782069002.3419952,1782069002.3565707,14.575481414794922,256
96,1782069002.442374,1782069002.4553082,12.934207916259766,256
97,1782069002.54278,1782069002.5576527,14.87278938293457,256
98,1782069002.6431522,1782069002.6554432,12.29095458984375,256
99,1782069002.7435591,1782069002.7575684,14.009237289428711,256
100,1782069002.8439229,1782069002.8561301,12.207269668579102,256
1,1782069007.347781,1782069007.3604093,12.628316879272461,256
2,1782069007.4481256,1782069007.460176,12.050390243530273,256
3,1782069007.5484366,1782069007.5605607,12.124061584472656,256
4,1782069007.648656,1782069007.660843,12.187004089355469,256
5,1782069007.7488678,1782069007.76154,12.672185897827148,256
6,1782069007.8490596,1782069007.861107,12.047529220581055,256
7,1782069007.9492521,1782069007.9616656,12.413501739501953,256
8,1782069008.0496736,1782069008.0623505,12.67695426940918,256
9,1782069008.149893,1782069008.1631813,13.288259506225586,256
10,1782069008.2500942,1782069008.262757,12.662887573242188,256
11,1782069008.3502717,1782069008.362442,12.17031478881836,256
12,1782069008.4504364,1782069008.4623945,11.958122253417969,256
13,1782069008.5506232,1782069008.5629776,12.354373931884766,256
14,1782069008.6507962,1782069008.6635664,12.77017593383789,256
15,1782069008.7509978,1782069008.7629,11.902332305908203,256
16,1782069008.8511794,1782069008.8656933,14.513969421386719,256
17,1782069008.9515069,1782069008.962464,10.95724105834961,256
18,1782069009.0520978,1782069009.0653057,13.20791244506836,256
19,1782069009.152545,1782069009.1675951,15.050172805786133,256
20,1782069009.2529564,1782069009.265767,12.810707092285156,256
21,1782069009.353316,1782069009.369658,16.3419246673584,256
22,1782069009.4536586,1782069009.4659822,12.323617935180664,256
23,1782069009.5539908,1782069009.566712,12.721061706542969,256
24,1782069009.6543267,1782069009.6753538,21.027088165283203,256
25,1782069009.754758,1782069009.772738,17.980098724365234,256
26,1782069009.8551075,1782069009.8675075,12.399911880493164,256
27,1782069009.9555025,1782069009.9680986,12.59613037109375,256
28,1782069010.0560868,1782069010.070311,14.22429084777832,256
29,1782069010.1564755,1782069010.1813767,24.901151657104492,256
30,1782069010.2568681,1782069010.2694132,12.545108795166016,256
31,1782069010.357221,1782069010.3696747,12.453794479370117,256
32,1782069010.4575567,1782069010.4697332,12.176513671875,256
33,1782069010.5578935,1782069010.570157,12.26353645324707,256
34,1782069010.6582284,1782069010.6724164,14.188051223754883,256
35,1782069010.7586634,1782069010.7731764,14.513015747070312,256
36,1782069010.8590164,1782069010.8725486,13.532161712646484,256
37,1782069010.959383,1782069010.971973,12.58993148803711,256
38,1782069011.0599582,1782069011.0722117,12.253522872924805,256
39,1782069011.1603627,1782069011.1727424,12.379646301269531,256
40,1782069011.2607603,1782069011.273393,12.632608413696289,256
41,1782069011.3611095,1782069011.3740234,12.913942337036133,256
42,1782069011.4614475,1782069011.4741507,12.703180313110352,256
43,1782069011.5617752,1782069011.5739677,12.192487716674805,256
44,1782069011.6621122,1782069011.673514,11.401653289794922,256
45,1782069011.7625353,1782069011.7741673,11.631965637207031,256
46,1782069011.8628852,1782069011.8748214,11.936187744140625,256
47,1782069011.9632604,1782069011.975472,12.21156120300293,256
48,1782069012.0638354,1782069012.0760586,12.223243713378906,256
49,1782069012.1642466,1782069012.176743,12.496471405029297,256
50,1782069012.264652,1782069012.277022,12.369871139526367,256
51,1782069012.3650239,1782069012.377259,12.235164642333984,256
52,1782069012.4654086,1782069012.477284,11.875391006469727,256
53,1782069012.5657756,1782069012.5779088,12.133121490478516,256
54,1782069012.6661458,1782069012.6795907,13.444900512695312,256
55,1782069012.7666128,1782069012.7794266,12.813806533813477,256
56,1782069012.8669796,1782069012.878994,12.014389038085938,256
57,1782069012.9674284,1782069012.9796183,12.189865112304688,256
58,1782069013.0680428,1782069013.080238,12.195348739624023,256
59,1782069013.168479,1782069013.1808832,12.404203414916992,256
60,1782069013.2688975,1782069013.2814734,12.575864791870117,256
61,1782069013.3692782,1782069013.3813558,12.077569961547852,256
62,1782069013.469651,1782069013.4819562,12.305259704589844,256
63,1782069013.570013,1782069013.5820382,12.025117874145508,256
64,1782069013.6704159,1782069013.6826458,12.22991943359375,256
65,1782069013.770835,1782069013.7830267,12.1917724609375,256
66,1782069013.8712027,1782069013.8833504,12.147665023803711,256
67,1782069013.9716368,1782069013.9839737,12.336969375610352,256
68,1782069014.0722468,1782069014.086046,13.799190521240234,256
69,1782069014.1726687,1782069014.1848538,12.185096740722656,256
70,1782069014.2730887,1782069014.2932253,20.136594772338867,256
71,1782069014.3734672,1782069014.3852947,11.827468872070312,256
72,1782069014.4738503,1782069014.4875717,13.721466064453125,256
73,1782069014.5742254,1782069014.5945308,20.305395126342773,256
74,1782069014.674637,1782069014.686477,11.839866638183594,256
75,1782069014.7750523,1782069014.7884803,13.427972793579102,256
76,1782069014.8754218,1782069014.8900626,14.64080810546875,256
77,1782069014.9758437,1782069014.9848683,9.024620056152344,256
78,1782069015.0764556,1782069015.088474,12.018442153930664,256
79,1782069015.176882,1782069015.1890728,12.190818786621094,256
80,1782069015.2773187,1782069015.291358,14.039278030395508,256
81,1782069015.3776975,1782069015.4021623,24.464845657348633,256
82,1782069015.478077,1782069015.490163,12.086153030395508,256
83,1782069015.5784445,1782069015.5898132,11.368751525878906,256
84,1782069015.6788216,1782069015.6908464,12.024879455566406,256
85,1782069015.7792225,1782069015.7914665,12.243986129760742,256
86,1782069015.879605,1782069015.8948379,15.23280143737793,256
87,1782069015.9800346,1782069015.9927347,12.700080871582031,256
88,1782069016.0806224,1782069016.094813,14.190673828125,256
89,1782069016.1810465,1782069016.19328,12.233495712280273,256
90,1782069016.2814703,1782069016.2939403,12.470006942749023,256
91,1782069016.3818588,1782069016.394597,12.738227844238281,256
92,1782069016.4822245,1782069016.4943879,12.163400650024414,256
93,1782069016.5826385,1782069016.5950491,12.410640716552734,256
94,1782069016.6830149,1782069016.6956835,12.668609619140625,256
95,1782069016.7834136,1782069016.7957041,12.290477752685547,256
96,1782069016.8852997,1782069016.8977027,12.403011322021484,256
97,1782069016.9858832,1782069016.9983563,12.473106384277344,256
98,1782069017.086434,1782069017.0989127,12.478828430175781,256
99,1782069017.1868947,1782069017.1995556,12.660980224609375,256
100,1782069017.2873175,1782069017.2997556,12.438058853149414,256
1,1782069021.9506242,1782069021.968323,17.69876480102539,256
2,1782069022.0509775,1782069022.0683687,17.391204833984375,256
3,1782069022.1513164,1782069022.162903,11.586666107177734,256
4,1782069022.2515702,1782069022.2645774,13.007164001464844,256
5,1782069022.3517542,1782069022.3645906,12.836456298828125,256
6,1782069022.4519598,1782069022.4666426,14.682769775390625,256
7,1782069022.5521777,1782069022.5643737,12.196063995361328,256
8,1782069022.652398,1782069022.666025,13.626813888549805,256
9,1782069022.7525904,1782069022.7669704,14.37997817993164,256
10,1782069022.8527732,1782069022.8641446,11.371374130249023,256
11,1782069022.9529653,1782069022.9647105,11.745214462280273,256
12,1782069023.0533872,1782069023.0649588,11.571645736694336,256
13,1782069023.1536624,1782069023.1652088,11.54637336730957,256
14,1782069023.253907,1782069023.267072,13.164997100830078,256
15,1782069023.3541327,1782069023.372705,18.572330474853516,256
16,1782069023.4543107,1782069023.5024748,48.16412925720215,256
17,1782069023.5545027,1782069023.5655057,11.00301742553711,256
18,1782069023.654682,1782069023.6660926,11.410713195800781,256
19,1782069023.7548773,1782069023.766472,11.594772338867188,256
20,1782069023.8550546,1782069023.8661687,11.114120483398438,256
21,1782069023.9552536,1782069023.9668012,11.547565460205078,256
22,1782069024.0556073,1782069024.0668612,11.253833770751953,256
23,1782069024.1558166,1782069024.1671867,11.370182037353516,256
24,1782069024.2560213,1782069024.266944,10.922670364379883,256
25,1782069024.3561928,1782069024.3686442,12.451410293579102,256
26,1782069024.456357,1782069024.4677987,11.441707611083984,256
27,1782069024.5565205,1782069024.5718887,15.368223190307617,256
28,1782069024.6566973,1782069024.677291,20.593643188476562,256
29,1782069024.7568824,1782069024.7711568,14.274358749389648,256
30,1782069024.857063,1782069024.8683376,11.274576187133789,256
31,1782069024.9572651,1782069024.969007,11.741876602172852,256
32,1782069025.0576212,1782069025.0730593,15.438079833984375,256
33,1782069025.1578226,1782069025.1776423,19.81973648071289,256
34,1782069025.2580314,1782069025.2732396,15.208244323730469,256
35,1782069025.358204,1782069025.3791754,20.97153663635254,256
36,1782069025.4583726,1782069025.471494,13.121366500854492,256
37,1782069025.558551,1782069025.5752285,16.677379608154297,256
38,1782069025.6587164,1782069025.6724987,13.782262802124023,256
39,1782069025.7589624,1782069025.7833457,24.3833065032959,256
40,1782069025.8591862,1782069025.8740869,14.900684356689453,256
41,1782069025.9593909,1782069025.978987,19.596099853515625,256
42,1782069026.059738,1782069026.0723152,12.577295303344727,256
43,1782069026.1599426,1782069026.1795628,19.620180130004883,256
44,1782069026.2601514,1782069026.2783718,18.22042465209961,256
45,1782069026.3603277,1782069026.3775938,17.266035079956055,256
46,1782069026.4604979,1782069026.4740093,13.511419296264648,256
47,1782069026.56066,1782069026.5859797,25.319814682006836,256
48,1782069026.6608348,1782069026.677646,16.811132431030273,256
49,1782069026.7610528,1782069026.7811825,20.129680633544922,256
50,1782069026.8614388,1782069026.8760648,14.626026153564453,256
51,1782069026.9618568,1782069026.9710796,9.222745895385742,256
52,1782069027.062455,1782069027.0744925,12.037515640258789,256
53,1782069027.1628773,1782069027.1768317,13.954401016235352,256
54,1782069027.2632723,1782069027.2751296,11.857271194458008,256
55,1782069027.363657,1782069027.3753664,11.709451675415039,256
56,1782069027.464018,1782069027.4760458,12.027740478515625,256
57,1782069027.5643818,1782069027.576737,12.35508918762207,256
58,1782069027.6647363,1782069027.6807146,15.978336334228516,256
59,1782069027.7651227,1782069027.7771037,11.981010437011719,256
60,1782069027.8654869,1782069027.8847618,19.27495002746582,256
61,1782069027.9658742,1782069027.9883564,22.48215675354004,256
62,1782069028.0664587,1782069028.0795648,13.106107711791992,256
63,1782069028.1668746,1782069028.1785731,11.698484420776367,256
64,1782069028.2672734,1782069028.299592,32.3185920715332,256
65,1782069028.3676555,1782069028.3794882,11.832714080810547,256
66,1782069028.4680102,1782069028.4886827,20.67255973815918,256
67,1782069028.5683634,1782069028.582592,14.228582382202148,256
68,1782069028.6687212,1782069028.6850467,16.32547378540039,256
69,1782069028.7690952,1782069028.7929616,23.86641502380371,256
70,1782069028.8694592,1782069028.8844154,14.956235885620117,256
71,1782069028.9698498,1782069028.9820766,12.22681999206543,256
72,1782069029.070438,1782069029.0816348,11.19685173034668,256
73,1782069029.1708434,1782069029.1844018,13.558387756347656,256
74,1782069029.2712283,1782069029.2835183,12.290000915527344,256
75,1782069029.3716073,1782069029.384182,12.57467269897461,256
76,1782069029.4719684,1782069029.4837134,11.744976043701172,256
77,1782069029.5723245,1782069029.584369,12.044429779052734,256
78,1782069029.6726825,1782069029.684292,11.609554290771484,256
79,1782069029.7730536,1782069029.786318,13.26441764831543,256
